domain,rank,echconfig
homo.xxx,10000,AEX+DQBB4wAgACD7KKwLvxAZeNRfn+RMifhub9VaY63BJtppgT0W7fcDFwAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
www.praymorenovenas.com,5000,AEX+DQBBvAAgACDJd/EabPEcMfKX0Em/UGfcQXgccEu/rvvGoJj3dCJzBAAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
xhamster3.com,5000,AEX+DQBB4wAgACD7KKwLvxAZeNRfn+RMifhub9VaY63BJtppgT0W7fcDFwAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
bestguiltypleasure.com,5000,AEX+DQBBvAAgACDJd/EabPEcMfKX0Em/UGfcQXgccEu/rvvGoJj3dCJzBAAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
thepiratebay10.info,5000,AEX+DQBBvAAgACDJd/EabPEcMfKX0Em/UGfcQXgccEu/rvvGoJj3dCJzBAAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
dhpru.top,5000,AEX+DQBBvAAgACDJd/EabPEcMfKX0Em/UGfcQXgccEu/rvvGoJj3dCJzBAAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
gamesmillennium.com,5000,AEX+DQBBvAAgACDJd/EabPEcMfKX0Em/UGfcQXgccEu/rvvGoJj3dCJzBAAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
sexpositions.club,5000,AEX+DQBBvAAgACDJd/EabPEcMfKX0Em/UGfcQXgccEu/rvvGoJj3dCJzBAAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
plaasmeisie.co.za,5000,AEX+DQBB4wAgACD7KKwLvxAZeNRfn+RMifhub9VaY63BJtppgT0W7fcDFwAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
newzedmusic.org,5000,AEX+DQBBvAAgACDJd/EabPEcMfKX0Em/UGfcQXgccEu/rvvGoJj3dCJzBAAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
www.hotnewhitz.net,10000,AEX+DQBB4wAgACD7KKwLvxAZeNRfn+RMifhub9VaY63BJtppgT0W7fcDFwAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
video.genyt.net,1000,AEX+DQBBvAAgACDJd/EabPEcMfKX0Em/UGfcQXgccEu/rvvGoJj3dCJzBAAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
dodi-repacks.site,5000,AEX+DQBBvAAgACDJd/EabPEcMfKX0Em/UGfcQXgccEu/rvvGoJj3dCJzBAAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
great-cash-cards.click,1000,AEX+DQBB4wAgACD7KKwLvxAZeNRfn+RMifhub9VaY63BJtppgT0W7fcDFwAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
www.fzmovies.live,1000,AEX+DQBBvAAgACDJd/EabPEcMfKX0Em/UGfcQXgccEu/rvvGoJj3dCJzBAAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
eroticmv.com,5000,AEX+DQBB4wAgACD7KKwLvxAZeNRfn+RMifhub9VaY63BJtppgT0W7fcDFwAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
www.xclusiveloaded.net,5000,AEX+DQBBvAAgACDJd/EabPEcMfKX0Em/UGfcQXgccEu/rvvGoJj3dCJzBAAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
berawangnews.com,5000,AEX+DQBBvAAgACDJd/EabPEcMfKX0Em/UGfcQXgccEu/rvvGoJj3dCJzBAAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
m.tubidy.africa.com,5000,AEX+DQBBvAAgACDJd/EabPEcMfKX0Em/UGfcQXgccEu/rvvGoJj3dCJzBAAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
epr3.totalsports.id,10000,
www.venasbet.com,5000,AEX+DQBB4wAgACD7KKwLvxAZeNRfn+RMifhub9VaY63BJtppgT0W7fcDFwAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
