domain,rank,echconfig
www.gongzuo.sg,10000,AEX+DQBBDwAgACCtLHT5C8EzU+02IP0Q0jxl+xehUYu17XafBlBUprIzdwAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
scroll.in,50000,AEX+DQBBDwAgACCtLHT5C8EzU+02IP0Q0jxl+xehUYu17XafBlBUprIzdwAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
807926decb.scrollara.net,50000,AEX+DQBBDwAgACCtLHT5C8EzU+02IP0Q0jxl+xehUYu17XafBlBUprIzdwAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
fans-here.com,50000,AEX+DQBBDwAgACCtLHT5C8EzU+02IP0Q0jxl+xehUYu17XafBlBUprIzdwAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
arkrecodewiki.miraheze.org,50000,AEX+DQBBDwAgACCtLHT5C8EzU+02IP0Q0jxl+xehUYu17XafBlBUprIzdwAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
retrogametalk.com,50000,AEX+DQBBDwAgACCtLHT5C8EzU+02IP0Q0jxl+xehUYu17XafBlBUprIzdwAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
gia.org.sg,50000,AEX+DQBBDwAgACCtLHT5C8EzU+02IP0Q0jxl+xehUYu17XafBlBUprIzdwAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
juragan404raptors.com,50000,
shashinki.com,50000,AEX+DQBBDwAgACCtLHT5C8EzU+02IP0Q0jxl+xehUYu17XafBlBUprIzdwAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
www.gamerbraves.com,50000,AEX+DQBBDwAgACCtLHT5C8EzU+02IP0Q0jxl+xehUYu17XafBlBUprIzdwAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
saradahentai.com,50000,AEX+DQBBDwAgACCtLHT5C8EzU+02IP0Q0jxl+xehUYu17XafBlBUprIzdwAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
clipphot.net,50000,AEX+DQBBDwAgACCtLHT5C8EzU+02IP0Q0jxl+xehUYu17XafBlBUprIzdwAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
libertycity.net,50000,AEX+DQBBDwAgACCtLHT5C8EzU+02IP0Q0jxl+xehUYu17XafBlBUprIzdwAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
