domain,rank,echconfig
www.sabcsport.com,50000,AEX+DQBB2wAgACDD/BF9/ZTGOFSbvc8eS1F+GfPR2rYoAO9VKCBNx1MXUgAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
www.flavorvoyage.net,10000,AEX+DQBB2wAgACDD/BF9/ZTGOFSbvc8eS1F+GfPR2rYoAO9VKCBNx1MXUgAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
dosaexpnj.com,50000,
mpyazote.com,5000,AEX+DQBB2wAgACDD/BF9/ZTGOFSbvc8eS1F+GfPR2rYoAO9VKCBNx1MXUgAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
9anime.org.lv,10000,AEX+DQBB2wAgACDD/BF9/ZTGOFSbvc8eS1F+GfPR2rYoAO9VKCBNx1MXUgAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
kcpredict.com,10000,AEX+DQBB2wAgACDD/BF9/ZTGOFSbvc8eS1F+GfPR2rYoAO9VKCBNx1MXUgAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
www.alotporn.com,50000,AEX+DQBB2wAgACDD/BF9/ZTGOFSbvc8eS1F+GfPR2rYoAO9VKCBNx1MXUgAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
anturis.com,10000,AEX+DQBB2wAgACDD/BF9/ZTGOFSbvc8eS1F+GfPR2rYoAO9VKCBNx1MXUgAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
degital5.com,50000,AEX+DQBB2wAgACDD/BF9/ZTGOFSbvc8eS1F+GfPR2rYoAO9VKCBNx1MXUgAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
www.databasemart.com,50000,AEX+DQBB2wAgACDD/BF9/ZTGOFSbvc8eS1F+GfPR2rYoAO9VKCBNx1MXUgAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
authorityastrology.com,50000,AEX+DQBB2wAgACDD/BF9/ZTGOFSbvc8eS1F+GfPR2rYoAO9VKCBNx1MXUgAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
sales.oneacrefund.org,5000,AEX+DQBB2wAgACDD/BF9/ZTGOFSbvc8eS1F+GfPR2rYoAO9VKCBNx1MXUgAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
xxxwap.mobi,5000,AEX+DQBB2wAgACDD/BF9/ZTGOFSbvc8eS1F+GfPR2rYoAO9VKCBNx1MXUgAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
saoviet.online,50000,AEX+DQBB2wAgACDD/BF9/ZTGOFSbvc8eS1F+GfPR2rYoAO9VKCBNx1MXUgAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
www.borwapxxx.com,5000,AEX+DQBB2wAgACDD/BF9/ZTGOFSbvc8eS1F+GfPR2rYoAO9VKCBNx1MXUgAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
messi-7.com,5000,AEX+DQBB2wAgACDD/BF9/ZTGOFSbvc8eS1F+GfPR2rYoAO9VKCBNx1MXUgAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
www.djerycom.ug,5000,AEX+DQBB2wAgACDD/BF9/ZTGOFSbvc8eS1F+GfPR2rYoAO9VKCBNx1MXUgAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
tokvoy.com,5000,AEX+DQBB2wAgACDD/BF9/ZTGOFSbvc8eS1F+GfPR2rYoAO9VKCBNx1MXUgAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
jobsintanzania.alljobspo.com,5000,AEX+DQBB2wAgACDD/BF9/ZTGOFSbvc8eS1F+GfPR2rYoAO9VKCBNx1MXUgAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
ch1cken-road.store,10000,AEX+DQBB2wAgACDD/BF9/ZTGOFSbvc8eS1F+GfPR2rYoAO9VKCBNx1MXUgAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
visalorestaurantpaxos.com,10000,AEX+DQBB2wAgACDD/BF9/ZTGOFSbvc8eS1F+GfPR2rYoAO9VKCBNx1MXUgAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
nyimbokali.com,1000,AEX+DQBB2wAgACDD/BF9/ZTGOFSbvc8eS1F+GfPR2rYoAO9VKCBNx1MXUgAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
www.ebony8.com,1000,AEX+DQBB2wAgACDD/BF9/ZTGOFSbvc8eS1F+GfPR2rYoAO9VKCBNx1MXUgAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
streamm4u.com.co,5000,AEX+DQBB2wAgACDD/BF9/ZTGOFSbvc8eS1F+GfPR2rYoAO9VKCBNx1MXUgAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=
